companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open),sales,expenses,operating_profit,net_profit,eps,price,opm,equity_share_capital,pe_ratio,outstanding_shares,market_cap,sales_growth_%,net_profit_growth_%,eps_growth_%,market_cap_growth_%,operating_margin_%,cagr_close_price,sector
Reliance Industry Limited,2016,1010.0,1128.9,888.5,1080.1,96321091,2234265,98330913776,47142669,48.94,240.4,70.1,272583.0,230802.0,41781.0,29745.0,21.51412576487436,237.46,15.32780841064923,4465.0,11.03739945537065,4465000000.0,1060258900000.0,,,,,15.32780841064923,0.04139666065141445,Private
Reliance Industry Limited,2017,1081.35,1665.0,780.0,921.05,1295487907,2174787,1655557103419,1232872956,95.17,885.0,-160.3,303954.0,257647.0,46307.0,29901.0,21.55462003142977,300.09,15.23487106601657,8177.0,13.92230526738236,8177000000.0,2453835930000.0,11.50878814893079,0.5244578920827081,0.1882217618227155,131.4374281602352,15.23487106601657,0.04139666065141445,Private
Reliance Industry Limited,2018,922.0,1328.75,872.1,1121.05,139543879,2252555,146343237188,61910981,44.37,456.65,199.05,390823.0,326508.0,64315.0,36075.0,26.69473653053522,401.08,16.45629863134974,17555.0,15.02468471794872,17555000000.0,7040959400000.0,28.57965350020068,20.64813885823216,23.84693625594152,186.9368450400023,16.45629863134974,0.04139666065141445,Private
Reliance Industry Limited,2019,1126.0,1617.8,1081.25,1514.1,135509400,3111982,178746774070,50788990,37.48,536.55,388.1,568337.0,484087.0,84250.0,39588.0,29.27543519737329,619.43,14.82395128242574,30089.0,21.15869485197534,30089000000.0,18638029270000.0,45.42056122592579,9.73804573804573,9.667443856904478,164.7086598738234,14.82395128242574,0.04139666065141445,Private
Reliance Industry Limited,2020,1516.1,2368.8,875.7,1984.65,417011242,8196471,566956764031,276266794,66.25,1493.1,468.55,596679.0,507413.0,89266.0,39354.0,29.10002440160607,506.06,14.96047288408005,19656.0,17.39036342430249,19656000000.0,9947115360000.0,4.986829996991227,-0.5910882085480407,-0.5991739988991052,-46.63000462172791,14.96047288408005,0.04139666065141445,Private
Reliance Industry Limited,2021,1986.15,2750.0,1830.0,2368.15,132634188,5842863,289257785145,73007671,55.04,920.0,382.0,466307.0,385517.0,80790.0,49128.0,38.74784090102453,918.78,17.32549586431257,19014.0,23.71177280166097,19014000000.0,17469682920000.0,-21.8496042260579,24.83610306449153,33.15398078802292,75.62561896336548,17.32549586431257,0.04139666065141445,Private
Reliance Industry Limited,2022,2367.5,2855.0,2181.0,2548.2,95833260,4597092,239944489367,63584501,66.35,674.0,180.7,694673.0,586092.0,108581.0,60705.0,44.86762553770196,1208.51,15.63051968336181,23640.0,26.93501128078412,23640000000.0,28569176400000.0,48.97331586272562,23.56497313141181,15.79387262456633,63.53574664651098,15.63051968336181,0.04139666065141445,Private
Reliance Industry Limited,2023,2556.9,2855.0,2180.0,2584.85,88584750,4517066,215716151244,54433108,61.45,675.0,27.95,876396.0,734078.0,142318.0,66702.0,49.29496275274921,1069.21,16.23900611139257,28448.0,21.69004580372403,28448000000.0,30416886080000.0,26.15950238457518,9.878922658759581,9.867554081565967,6.467493686657355,16.23900611139257,0.04139666065141445,Private
Reliance Industry Limited,2024,2581.05,3217.9,1202.1,1215.45,94130413,4731886,226143348048,47010979,49.94,2015.8,-1365.6,899041.0,736543.0,162498.0,69621.0,51.45143887550438,1485.85,18.07459281612296,31628.0,28.87868701972106,31628000000.0,46994463800000.0,2.58387760783938,4.376180624269144,4.374637898747391,54.50123223133036,18.07459281612296,0.04139666065141445,Private
Reliance Industry Limited,2025,1218.95,1580.9,1115.55,1556.0,163357803,4624585,226650469231,84795140,51.91,465.35,337.05,962820.0,797222.0,165598.0,69648.0,51.4675888977565,1275.1,17.199268814524,42121.0,24.77481512749827,42121000000.0,53708487100000.0,7.094114728916701,0.03878140216313497,0.03138886415052777,14.28683882547033,17.199268814524,0.04139666065141445,Private
Bharat Petroleum Corportation Limited,2016,900.0,1152.45,543.25,634.55,30209837,952287,22307479257,10366705,34.32,609.2,-265.45,187814.6,174843.52,12971.07999999999,8088.87,18.6439634905269,150.72,6.906321446788474,655.62,8.084117954671049,655620000.0,98815046400.0,,,,,6.906321446788474,-0.05965403667457181,Public
Bharat Petroleum Corportation Limited,2017,637.0,769.85,450.45,518.7,50708573,739509,29380098543,22761668,44.89,319.4,-118.3,201250.66,187467.86,13782.80000000002,8720.94,20.10127924397833,216.62,6.848573813372844,1311.25,10.77642857306667,1311250000.0,284042975000.0,7.153895384064923,7.814070444944732,7.816555499005928,187.4491136200084,6.848573813372844,-0.05965403667457181,Public
Bharat Petroleum Corportation Limited,2018,519.0,522.65,239.0,362.75,92338785,917209,34217639093,33407529,36.18,283.65,-156.25,235895.11,220577.66,15317.44999999998,9008.63,20.76438861357612,213.73,6.493330870656871,1966.88,10.29310344636199,1966880000.0,420381262400.0,17.21457708511365,3.298841638630678,3.298841638630678,47.99917596976302,6.493330870656871,-0.05965403667457181,Public
Bharat Petroleum Corportation Limited,2019,362.75,549.7,308.55,491.5,78373674,865610,33001455863,22693973,28.96,241.15,128.75,298225.59,283113.36,15112.22999999998,7802.3,17.98386539126426,198.78,5.067382044579065,1966.88,11.05324109557438,1966880000.0,390976406400.0,26.42296400294184,-13.39082635206462,-13.39082635206462,-6.994806531605291,5.067382044579065,-0.05965403667457181,Public
Bharat Petroleum Corportation Limited,2020,491.4,510.0,252.0,380.95,93854349,1528151,36619845798,22694745,24.18,258.0,-110.45,284571.9,275596.69,8975.210000000021,3055.36,7.042434020974992,158.45,3.153934032137404,1966.88,22.49932332032886,1966880000.0,311652136000.0,-4.578309326171503,-60.84026505004934,-60.84026505004934,-20.28876144481336,3.153934032137404,-0.05965403667457181,Public
